Name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,1/4 car body mass,suspension mass,spring constant of suspension system,spring constant of wheel and tire,damping constant of suspension system,damping constant of wheel and tire
toyota corolla tercel,38.1,4,89,60,1968,18.8,80,3,492,63,43345,98400,69,2956
mazda glc custom,31,4,91,68,1970,17.6,82,3,493,63,43389,98500,69,2959
maxda glc deluxe,34.1,4,86,65,1975,15.2,79,3,494,63,43499,98750,69,2966
datsun 210 mpg,37,4,85,65,1975,19.4,81,3,494,63,43499,98750,69,2966
volkswagen rabbit l,36,4,105,74,1980,15.3,82,2,495,63,43610,99000,69,2974
subaru dl,30,4,97,67,1985,16.4,77,3,496,64,43720,99250,69,2981
volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,78,2,496,64,43720,99250,69,2981
mazda glc deluxe,32.8,4,78,52,1985,19.4,78,3,496,64,43720,99250,69,2981
mazda glc 4,34.1,4,91,68,1985,16,81,3,496,64,43720,99250,69,2981
datsun b-210,32,4,85,70,1990,17,76,3,498,64,43830,99500,70,2989
volkswagen scirocco,31.5,4,89,71,1990,14.9,78,2,498,64,43830,99500,70,2989
datsun 310 gx,38,4,91,67,1995,16.2,82,3,499,64,43940,99750,70,2996
fiat x1.9,31,4,79,67,2000,16,74,2,500,64,44050,100000,70,3004
datsun 710,32,4,83,61,2003,19,74,3,501,64,44116,100150,70,3009
datsun 310,37.2,4,86,65,2019,16.4,80,3,505,65,44468,100950,71,3033
datsun 210,31.8,4,85,65,2020,19.2,79,3,505,65,44491,101000,71,3034
mazda glc custom l,37,4,91,68,2025,18.2,82,3,506,65,44601,101250,71,3042
chevrolet chevette,29,4,85,52,2035,22.2,76,1,509,65,44821,101750,71,3057
honda accord cvcc,31.5,4,98,68,2045,18.5,77,3,511,65,45041,102250,72,3072
ford escort 4w,34.4,4,98,65,2045,16.2,81,1,511,65,45041,102250,72,3072
ford pinto,25,4,98,?,2046,19,71,1,512,65,45063,102300,72,3073
toyota tercel,37.7,4,89,62,2050,17.3,81,3,513,66,45151,102500,72,3079
chevrolet chevette,30.5,4,98,63,2051,17,77,1,513,66,45173,102550,72,3081
fiat 124b,30,4,88,76,2065,14.5,71,2,516,66,45482,103250,72,3102
subaru,32.3,4,97,67,2065,17.8,81,3,516,66,45482,103250,72,3102
datsun b210 gx,39.4,4,85,70,2070,18.6,78,3,518,66,45592,103500,72,3109
peugeot 304,30,4,79,70,2074,19.5,71,2,519,66,45680,103700,73,3115
dodge colt m/m,33.5,4,98,83,2075,15.9,77,1,519,66,45702,103750,73,3117
vw rabbit c (diesel),44.3,4,90,48,2085,21.7,80,2,521,67,45922,104250,73,3132
toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,3,525,67,46253,105000,74,3154
fiat 128,24,4,90,75,2108,15.5,74,2,527,67,46429,105400,74,3166
mazda glc,46.6,4,86,65,2110,17.9,80,3,528,68,46473,105500,74,3169
datsun 210,40.8,4,85,65,2110,19.2,80,3,528,68,46473,105500,74,3169
chevrolet chevette,32.1,4,98,70,2120,15.5,80,1,530,68,46693,106000,74,3184
opel 1900,28,4,116,90,2123,14,71,2,531,68,46759,106150,74,3189
maxda rx3,18,3,70,90,2124,13.5,73,3,531,68,46781,106200,74,3190
dodge colt,28,4,90,75,2125,14.5,74,1,531,68,46803,106250,74,3192
plymouth horizon miser,38,4,105,63,2125,14.7,82,1,531,68,46803,106250,74,3192
mercury lynx l,36,4,98,70,2125,17.3,82,1,531,68,46803,106250,74,3192
dodge colt hardtop,25,4,97.5,80,2126,17,72,1,532,68,46825,106300,74,3193
datsun pl510,27,4,97,88,2130,14.5,70,3,533,68,46913,106500,75,3199
datsun pl510,27,4,97,88,2130,14.5,71,3,533,68,46913,106500,75,3199
fiat strada custom,37.3,4,91,69,2130,14.7,79,2,533,68,46913,106500,75,3199
vw pickup,44,4,97,52,2130,24.6,82,2,533,68,46913,106500,75,3199
honda accord lx,29.5,4,98,68,2135,16.6,78,3,534,68,47023,106750,75,3207
vw rabbit,41.5,4,98,76,2144,14.7,80,2,536,69,47222,107200,75,3220
subaru dl,33.8,4,97,67,2145,18,80,3,536,69,47244,107250,75,3222
plymouth horizon tc3,34.5,4,105,70,2150,14.9,79,1,538,69,47354,107500,75,3229
toyota corolla,28,4,97,75,2155,16.4,76,3,539,69,47464,107750,75,3237
buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,1,539,69,47464,107750,75,3237
chevrolet chevette,30,4,98,68,2155,16.5,78,1,539,69,47464,107750,75,3237
opel manta,24,4,116,75,2158,15.5,73,2,540,69,47530,107900,76,3241
nissan stanza xe,36,4,120,88,2160,14.5,82,3,540,69,47574,108000,76,3244
dodge colt (sw),28,4,98,80,2164,15,72,1,541,69,47662,108200,76,3250
chevrolet woody,24.5,4,98,60,2164,22.1,76,1,541,69,47662,108200,76,3250
toyota corolla,29,4,97,75,2171,16,75,3,543,69,47816,108550,76,3261
audi 4000,34.3,4,97,78,2188,15.8,80,2,547,70,48191,109400,77,3286
renault 12 (sw),26,4,96,69,2189,18,72,2,547,70,48213,109450,77,3288
volkswagen dasher,30.5,4,97,78,2190,14.1,77,2,548,70,48235,109500,77,3289
volkswagen jetta,33,4,105,74,2190,14.2,81,2,548,70,48235,109500,77,3289
plymouth horizon,34.2,4,105,70,2200,13.2,79,1,550,70,48455,110000,77,3304
renault 12tl,27,4,101,83,2202,15.3,76,2,551,70,48499,110100,77,3307
honda accord,36,4,107,75,2205,14.5,82,3,551,71,48565,110250,77,3312
honda prelude,33.7,4,107,75,2210,14.4,81,3,553,71,48675,110500,77,3319
plymouth horizon 4,34.7,4,105,63,2215,14.9,81,1,554,71,48785,110750,78,3327
audi fox,29,4,98,83,2219,16.5,74,2,555,71,48873,110950,78,3333
mercury capri 2000,23,4,122,86,2220,14,71,1,555,71,48896,111000,78,3334
opel 1900,25,4,116,81,2220,16.9,76,2,555,71,48896,111000,78,3334
volkswagen dasher,25,4,90,71,2223,16.5,75,2,556,71,48962,111150,78,3339
ford pinto runabout,21,4,122,86,2226,16.5,72,1,557,71,49028,111300,78,3343
toyota corona,25,4,113,95,2228,14,71,3,557,71,49072,111400,78,3346
dodge omni,30.9,4,105,75,2230,14.5,78,1,558,71,49116,111500,78,3349
bmw 2002,26,4,121,113,2234,12.5,70,2,559,71,49204,111700,78,3355
toyota corolla,34,4,108,70,2245,16.9,82,3,561,72,49446,112250,79,3372
fiat 124 tc,26,4,116,75,2246,14,74,2,562,72,49468,112300,79,3373
volkswagen type 3,23,4,97,54,2254,23.5,72,2,564,72,49644,112700,79,3386
dodge colt,26,4,98,79,2255,17.7,76,1,564,72,49666,112750,79,3387
chevrolet vega 2300,28,4,140,90,2264,15.5,71,1,566,72,49865,113200,79,3401
fiat 124 sport coupe,26,4,98,90,2265,15.5,73,2,566,72,49887,113250,79,3402
toyota corolla liftback,26,4,97,75,2265,18.2,77,3,566,72,49887,113250,79,3402
toyota corolla,32.2,4,108,75,2265,15.2,80,3,566,72,49887,113250,79,3402
toyota corona hardtop,24,4,113,95,2278,15.5,72,3,570,73,50173,113900,80,3422
toyota carina,20,4,97,88,2279,19,73,3,570,73,50195,113950,80,3423
datsun 510 (sw),28,4,97,92,2288,17,72,3,572,73,50393,114400,80,3437
honda accord,32.4,4,107,72,2290,17,80,3,573,73,50437,114500,80,3440
dodge rampage,32,4,135,84,2295,11.6,82,1,574,73,50547,114750,80,3447
opel manta,26,4,97,78,2300,14.5,74,2,575,74,50658,115000,81,3455
plymouth arrow gs,25.5,4,122,96,2300,15.5,77,1,575,74,50658,115000,81,3455
datsun 510,27.2,4,119,97,2300,14.7,78,3,575,74,50658,115000,81,3455
ford pinto,19,4,122,85,2310,18.5,73,1,578,74,50878,115500,81,3470
renault 18i,34.5,4,100,?,2320,15.8,81,2,580,74,51098,116000,81,3485
mazda rx2 coupe,19,3,70,97,2330,13.5,72,3,583,75,51318,116500,82,3500
vw dasher (diesel),43.4,4,90,48,2335,23.7,80,2,584,75,51428,116750,82,3507
toyota corolla,32.4,4,108,75,2350,16.8,81,3,588,75,51759,117500,82,3530
dodge charger 2.2,36,4,135,84,2370,13,82,1,593,76,52199,118500,83,3560
toyota corona mark ii,24,4,113,95,2372,15,70,3,593,76,52243,118600,83,3563
saab 99e,25,4,104,95,2375,17.5,70,2,594,76,52309,118750,83,3567
datsun 610,22,4,108,94,2379,16.5,73,3,595,76,52397,118950,83,3573
ford escort 2h,29.9,4,98,65,2380,20.7,81,1,595,76,52420,119000,83,3575
plymouth reliant,30,4,135,84,2385,12.9,81,1,596,76,52530,119250,83,3582
subaru,26,4,108,93,2391,15.5,74,3,598,77,52662,119550,84,3591
ford pinto (sw),22,4,122,86,2395,16,72,1,599,77,52750,119750,84,3597
chevrolet cavalier 2-door,34,4,112,88,2395,18,82,1,599,77,52750,119750,84,3597
chevrolet vega,21,4,140,72,2401,19.5,73,1,600,77,52882,120050,84,3606
datsun 200-sx,23.9,4,119,97,2405,14.9,78,3,601,77,52970,120250,84,3612
chevrolet vega (sw),22,4,140,72,2408,19,71,1,602,77,53036,120400,84,3617
chevrolet vega,20,4,140,90,2408,19.5,72,1,602,77,53036,120400,84,3617
mazda rx-7 gs,23.7,3,70,100,2420,12.5,80,3,605,77,53301,121000,85,3635
audi 100 ls,24,4,107,90,2430,14.5,70,2,608,78,53521,121500,85,3650
datsun 510 hatchback,37,4,119,92,2434,15,80,3,609,78,53609,121700,85,3656
ford pinto,26,4,122,80,2451,16.5,74,1,613,78,53983,122550,86,3681
fiat 131,28,4,107,86,2464,15.5,76,2,616,79,54270,123200,86,3701
mercury capri v6,21,6,155,107,2472,14,73,1,618,79,54446,123600,87,3713
honda civic,24,4,120,97,2489,15,74,3,622,80,54820,124450,87,3738
plymouth reliant,27.2,4,135,84,2490,15.7,81,1,623,80,54842,124500,87,3740
triumph tr7 coupe,35,4,122,88,2500,15.1,80,2,625,80,55063,125000,88,3755
toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,3,627,80,55195,125300,88,3764
volkswagen 411 (sw),22,4,121,76,2511,18,72,2,628,80,55305,125550,88,3772
toyota celica gt liftback,21.1,4,134,95,2515,14.8,78,3,629,80,55393,125750,88,3778
dodge aries se,29,4,135,84,2525,16,82,1,631,81,55613,126250,88,3793
chevrolet vega,25,4,140,75,2542,17,74,1,636,81,55988,127100,89,3818
mazda 626,31.3,4,120,75,2542,17.5,80,3,636,81,55988,127100,89,3818
datsun 710,24,4,119,97,2545,17,75,3,636,81,56054,127250,89,3823
pontiac phoenix,33.5,4,151,90,2556,13.2,79,1,639,82,56296,127800,89,3839
toyota corona,27.5,4,134,95,2560,14.2,78,3,640,82,56384,128000,90,3845
ford pinto,26.5,4,140,72,2565,13.6,76,1,641,82,56494,128250,90,3853
capri ii,25,4,140,92,2572,14.9,76,1,643,82,56648,128600,90,3863
pontiac j2000 se hatchback,31,4,112,85,2575,16.2,82,1,644,82,56714,128750,90,3868
audi 100ls,20,4,114,91,2582,14,73,2,646,83,56869,129100,90,3878
chrysler lebaron medallion,26,4,156,92,2585,14.5,82,1,646,83,56935,129250,90,3883
ford maverick,21,6,200,85,2587,16,70,1,647,83,56979,129350,91,3886
pontiac astro,23,4,140,78,2592,18.5,75,1,648,83,57089,129600,91,3893
chevrolet citation,28.8,6,173,115,2595,11.3,79,1,649,83,57155,129750,91,3898
bmw 320i,21.5,4,121,110,2600,12.8,77,2,650,83,57265,130000,91,3905
chevrolet cavalier,28,4,112,88,2605,19.6,82,1,651,83,57375,130250,91,3913
datsun 200sx,32.9,4,119,100,2615,14.8,81,3,654,84,57595,130750,92,3928
dodge aries wagon (sw),25.8,4,156,92,2620,14.4,81,1,655,84,57706,131000,92,3935
ford ranger,28,4,120,79,2625,18.6,82,1,656,84,57816,131250,92,3943
amc gremlin,19,6,232,100,2634,13,71,1,659,84,58014,131700,92,3956
buick skylark,26.6,4,151,84,2635,16.4,81,1,659,84,58036,131750,92,3958
mazda 626,31.6,4,120,74,2635,18.3,81,3,659,84,58036,131750,92,3958
ford pinto,23,4,140,83,2639,17,75,1,660,84,58124,131950,92,3964
chevrolet cavalier wagon,27,4,112,88,2640,18.6,82,1,660,84,58146,132000,92,3965
amc gremlin,21,6,199,90,2648,15,70,1,662,85,58322,132400,93,3977
saab 99le,24,4,121,110,2660,14,73,2,665,85,58587,133000,93,3995
toyota celica gt,32,4,144,96,2665,13.9,82,3,666,85,58697,133250,93,4003
amc spirit dl,27.4,4,121,80,2670,15,79,1,668,85,58807,133500,93,4010
buick skylark limited,28.4,4,151,90,2670,16,79,1,668,85,58807,133500,93,4010
saab 99le,25,4,121,115,2671,13.5,75,2,668,85,58829,133550,93,4012
peugeot 504,25,4,110,87,2672,17.5,70,2,668,86,58851,133600,94,4013
chevrolet citation,28,4,151,90,2678,16.5,80,1,670,86,58983,133900,94,4022
audi 100ls,23,4,115,95,2694,15,75,2,674,86,59335,134700,94,4046
oldsmobile omega brougham,26.8,6,173,115,2700,12.9,79,1,675,86,59468,135000,95,4055
toyota corona,24,4,134,96,2702,13.5,75,3,676,86,59512,135100,95,4058
toyota corona liftback,29.8,4,134,90,2711,15.5,80,3,678,87,59710,135550,95,4072
mazda rx-4,21.5,3,80,110,2720,13.5,77,3,680,87,59908,136000,95,4085
ford fairmont (man),25.1,4,140,88,2720,15.4,78,1,680,87,59908,136000,95,4085
chevy s-10,31,4,119,82,2720,19.4,82,1,680,87,59908,136000,95,4085
chevrolet citation,23.5,6,173,110,2725,12.6,81,1,681,87,60018,136250,95,4093
pontiac phoenix,27,4,151,90,2735,18,82,1,684,88,60238,136750,96,4108
pontiac sunbird coupe,24.5,4,151,88,2740,16,77,1,685,88,60349,137000,96,4115
plymouth sapporo,23.2,4,156,105,2745,16.7,78,1,686,88,60459,137250,96,4123
ford mustang ii 2+2,25.5,4,140,89,2755,15.8,77,1,689,88,60679,137750,96,4138
amc hornet,18,6,199,97,2774,15.5,70,1,694,89,61097,138700,97,4167
amc gremlin,18,6,232,100,2789,15,73,1,697,89,61428,139450,98,4189
ford mustang gl,27,4,140,86,2790,15.6,82,1,698,89,61450,139500,98,4191
saab 99gle,21.6,4,121,115,2795,15.7,78,2,699,89,61560,139750,98,4198
dodge colt,27.9,4,156,105,2800,14.4,80,1,700,90,61670,140000,98,4206
toyota mark ii,20,6,156,122,2807,13.5,73,3,702,90,61824,140350,98,4216
datsun 810,22,6,146,97,2815,14.5,77,3,704,90,62000,140750,99,4228
audi 5000,20.3,5,131,103,2830,15.9,78,2,708,91,62331,141500,99,4251
plymouth duster,22,6,198,95,2833,15.5,70,1,708,91,62397,141650,99,4255
ford granada l,22,6,232,112,2835,14.7,82,1,709,91,62441,141750,99,4258
oldsmobile starfire sx,23.8,4,151,85,2855,17.6,78,1,714,91,62881,142750,100,4288
ford fairmont futura,24,4,140,92,2865,16.4,82,1,716,92,63102,143250,100,4303
volvo 144ea,19,4,121,112,2868,15.5,73,2,717,92,63168,143400,100,4308
ford fairmont,26.4,4,140,88,2870,18.1,80,1,718,92,63212,143500,100,4311
ford maverick,21,6,200,?,2875,17,74,1,719,92,63322,143750,101,4318
ford fairmont 4,22.3,4,140,88,2890,17.3,79,1,723,92,63652,144500,101,4341
toyota cressida,25.4,6,168,116,2900,12.6,81,3,725,93,63873,145000,102,4356
amc hornet,19,6,232,100,2901,16,74,1,725,93,63895,145050,102,4357
plymouth duster,23,6,198,95,2904,16,73,1,726,93,63961,145200,102,4362
ford mustang cobra,23.6,4,140,?,2905,14.3,80,1,726,93,63983,145250,102,4363
datsun 280-zx,32.7,6,168,132,2910,11.4,80,3,728,93,64093,145500,102,4371
amc gremlin,20,6,232,100,2914,16,75,1,729,93,64181,145700,102,4377
toyota mark ii,19,6,156,108,2930,15.5,76,3,733,94,64533,146500,103,4401
datsun 810 maxima,24.2,6,146,120,2930,13.8,81,3,733,94,64533,146500,103,4401
volvo 145e (sw),18,4,121,112,2933,14.5,72,2,733,94,64599,146650,103,4405
amc hornet,18,6,232,100,2945,16,73,1,736,94,64864,147250,103,4423
volvo 244dl,22,4,121,98,2945,14.5,75,2,736,94,64864,147250,103,4423
buick century limited,25,6,181,110,2945,16.4,82,1,736,94,64864,147250,103,4423
audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,2,738,94,64974,147500,103,4431
chevrolet camaro,27,4,151,90,2950,17.3,82,1,738,94,64974,147500,103,4431
peugeot 504,23,4,120,88,2957,17,75,2,739,95,65128,147850,103,4441
amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,1,741,95,65238,148100,104,4449
ford fairmont (auto),20.2,6,200,85,2965,15.8,78,1,741,95,65304,148250,104,4453
peugeot 504 (sw),21,4,120,87,2979,19.5,72,2,745,95,65612,148950,104,4474
ford pinto,18,6,171,97,2984,14.5,75,1,746,95,65723,149200,104,4482
mercury zephyr 6,19.8,6,200,85,2990,18.2,79,1,748,96,65855,149500,105,4491
amc concord,24.3,4,151,90,3003,20.1,80,1,751,96,66141,150150,105,4511
ford maverick,24,6,200,81,3012,17.6,76,1,753,96,66339,150600,105,4524
oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,82,1,754,96,66405,150750,106,4529
ford maverick,18,6,250,88,3021,16.5,73,1,755,97,66538,151050,106,4538
amc concord dl,23,4,151,?,3035,20.5,82,1,759,97,66846,151750,106,4559
buick skyhawk,21,6,231,110,3039,15,75,1,760,97,66934,151950,106,4565
ford granada gl,20.2,6,200,88,3060,17.1,81,1,765,98,67397,153000,107,4596
mercury zephyr,20.8,6,200,85,3070,16.7,78,1,768,98,67617,153500,107,4611
amc hornet,22.5,6,232,90,3085,17.6,76,1,771,99,67947,154250,108,4634
buick estate wagon (sw),14,8,455,225,3086,10,70,1,772,99,67969,154300,108,4635
plymouth duster,20,6,198,95,3102,16.5,74,1,776,99,68322,155100,109,4659
plymouth valiant,18,6,225,105,3121,16.5,73,1,780,100,68740,156050,109,4688
ford mustang,18,6,250,88,3139,14.5,71,1,785,100,69136,156950,110,4715
volvo 264gl,17,6,163,125,3140,13.6,78,2,785,100,69159,157000,110,4716
volvo 245,20,4,130,102,3150,15.7,76,2,788,101,69379,157500,110,4731
chevrolet malibu,20.5,6,200,95,3155,18.2,78,1,789,101,69489,157750,110,4739
ford maverick,15,6,250,72,3158,19.5,75,1,790,101,69555,157900,111,4743
volvo diesel,30.7,6,145,76,3160,19.6,81,2,790,101,69599,158000,111,4746
ford mustang ii,13,8,302,129,3169,12,75,1,792,101,69797,158450,111,4760
peugeot 504,27.2,4,141,71,3190,24.8,79,2,798,102,70260,159500,112,4791
amc pacer d/l,17.5,6,258,95,3193,17.8,76,1,798,102,70326,159650,112,4796
ford futura,18.1,8,302,139,3205,11.2,78,1,801,103,70590,160250,112,4814
amc concord,19.4,6,232,90,3210,17.2,78,1,803,103,70700,160500,112,4821
amc pacer,19,6,232,90,3211,17,75,1,803,103,70722,160550,112,4823
chevrolet monza 2+2,20,8,262,110,3221,13.5,75,1,805,103,70943,161050,113,4838
peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,81,2,808,103,71141,161500,113,4851
plymouth valiant,22,6,225,100,3233,15.4,76,1,808,103,71207,161650,113,4856
pontiac lemans v6,21.5,6,231,115,3245,15.4,79,1,811,104,71471,162250,114,4874
mercedes-benz 240d,30,4,146,67,3250,21.8,80,2,813,104,71581,162500,114,4882
plymouth valiant custom,19,6,225,95,3264,16,75,1,816,104,71890,163200,114,4903
amc concord dl 6,20.2,6,232,90,3265,18.2,79,1,816,104,71912,163250,114,4904
peugeot 504,19,4,120,88,3270,21.9,76,2,818,105,72022,163500,114,4912
chevrolet nova custom,16,6,250,100,3278,18,73,1,820,105,72198,163900,115,4924
pontiac firebird,19,6,250,100,3282,15,71,1,821,105,72286,164100,115,4930
amc matador,18,6,232,100,3288,15.5,71,1,822,105,72418,164400,115,4939
ford torino 500,19,6,250,88,3302,15.5,71,1,826,106,72727,165100,116,4960
chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,1,832,107,73321,166450,117,5000
chevrolet nova,15,6,250,100,3336,17,74,1,834,107,73475,166800,117,5011
chevrolet nova,22,6,250,105,3353,14.5,76,1,838,107,73850,167650,117,5036
dodge aspen 6,20.6,6,225,110,3360,16.6,79,1,840,108,74004,168000,118,5047
oldsmobile cutlass salon brougham,19.9,8,260,110,3365,15.5,78,1,841,108,74114,168250,118,5054
buick century special,20.6,6,231,105,3380,15.8,78,1,845,108,74445,169000,118,5077
dodge aspen,19.1,6,225,90,3381,18.7,80,1,845,108,74467,169050,118,5078
dodge dart custom,15,8,318,150,3399,11,73,1,850,109,74863,169950,119,5105
amc concord d/l,18.1,6,258,120,3410,15.1,78,1,853,109,75105,170500,119,5122
peugeot 604sl,16.2,6,163,133,3410,15.8,78,2,853,109,75105,170500,119,5122
buick century,22.4,6,231,110,3415,15.8,81,1,854,109,75215,170750,120,5129
oldsmobile cutlass salon brougham,23.9,8,260,90,3420,22.2,79,1,855,109,75326,171000,120,5137
buick skylark,20.5,6,231,105,3425,16.9,77,1,856,110,75436,171250,120,5144
chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,78,1,856,110,75436,171250,120,5144
plymouth volare,20.5,6,225,100,3430,17.2,78,1,858,110,75546,171500,120,5152
mercury monarch,15,6,250,72,3432,21,75,1,858,110,75590,171600,120,5155
amc rebel sst,16,8,304,150,3433,12,70,1,858,110,75612,171650,120,5156
plymouth satellite,18,8,318,150,3436,11,70,1,859,110,75678,171800,120,5161
plymouth satellite custom,16,6,225,105,3439,15.5,71,1,860,110,75744,171950,120,5165
buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,1,861,110,75876,172250,121,5174
ford torino,17,8,302,140,3449,10.5,70,1,862,110,75964,172450,121,5180
chevrolet nova,18,6,250,105,3459,16,75,1,865,111,76184,172950,121,5195
chrysler lebaron salon,17.6,6,225,85,3465,16.6,81,1,866,111,76317,173250,121,5204
chevrolet concours,17.5,6,250,110,3520,16.4,77,1,880,113,77528,176000,123,5287
ford granada,18.5,6,250,98,3525,19,77,1,881,113,77638,176250,123,5295
mercedes benz 300d,25.4,5,183,77,3530,20.1,79,2,883,113,77748,176500,124,5302
pontiac phoenix lj,19.2,6,231,105,3535,19.2,78,1,884,113,77858,176750,124,5310
dodge challenger se,15,8,383,170,3563,10,70,1,891,114,78475,178150,125,5352
mercury monarch ghia,20.2,8,302,139,3570,12.8,78,1,893,114,78629,178500,125,5362
ford granada ghia,18,6,250,78,3574,21,76,1,894,114,78717,178700,125,5368
chevrolet malibu classic (sw),19.2,8,267,125,3605,15,79,1,901,115,79400,180250,126,5415
plymouth 'cuda 340,14,8,340,160,3609,8,70,1,902,115,79488,180450,126,5421
plymouth satellite sebring,18,6,225,105,3613,16.5,74,1,903,116,79576,180650,126,5427
dodge aspen,18.6,6,225,110,3620,18.7,78,1,905,116,79731,181000,127,5437
plymouth volare custom,19,6,225,100,3630,17.7,77,1,908,116,79951,181500,127,5452
amc matador,16,6,258,110,3632,18,74,1,908,116,79995,181600,127,5455
pontiac ventura sj,18.5,6,250,110,3645,16.2,76,1,911,117,80281,182250,128,5475
dodge aspen se,20,6,225,100,3651,17.7,76,1,913,117,80413,182550,128,5484
oldsmobile omega,11,8,350,180,3664,11,73,1,916,117,80700,183200,128,5503
amc ambassador sst,17,8,304,150,3672,11.5,72,1,918,118,80876,183600,129,5515
amc matador,14,8,304,150,3672,11.5,73,1,918,118,80876,183600,129,5515
buick skylark 320,15,8,350,165,3693,11.5,70,1,923,118,81338,184650,129,5547
ford ltd landau,17.6,8,302,129,3725,13.4,79,1,931,119,82043,186250,130,5595
oldsmobile cutlass ls,26.6,8,350,105,3725,19,81,1,931,119,82043,186250,130,5595
amc matador,15,6,258,110,3730,19,75,1,933,119,82153,186500,131,5602
dodge diplomat,19.4,8,318,140,3735,13.2,78,1,934,120,82263,186750,131,5610
dodge d100,13,8,318,150,3755,14,76,1,939,120,82704,187750,131,5640
chevrolet monte carlo,15,8,400,150,3761,9.5,70,1,940,120,82836,188050,132,5649
dodge coronet custom,15,8,318,150,3777,12.5,73,1,944,121,83188,188850,132,5673
chevrolet chevelle malibu classic,16,6,250,100,3781,17,74,1,945,121,83277,189050,132,5679
plymouth fury,18,6,225,95,3785,19,75,1,946,121,83365,189250,132,5685
mercedes-benz 280s,16.5,6,168,120,3820,16.7,76,2,955,122,84136,191000,134,5738
amc ambassador brougham,13,8,360,175,3821,11,73,1,955,122,84158,191050,134,5739
dodge st. regis,18.2,8,318,135,3830,15.2,79,1,958,123,84356,191500,134,5753
chevrolet caprice classic,17,8,305,130,3840,15.4,79,1,960,123,84576,192000,134,5768
amc ambassador dpl,15,8,390,190,3850,8.5,70,1,963,123,84796,192500,135,5783
ford f108,13,8,302,130,3870,15,76,1,968,124,85237,193500,135,5813
chevrolet caprice classic,17.5,8,305,145,3880,12.5,77,1,970,124,85457,194000,136,5828
